飞机,fēi jī,"airplane; CL: 架[jia4]",飛機,fei1 gei1,fei1 gei1,fēi gēi,1
分钟,fēn zhōng,"minute",分鍾,fan1 jung1,fan1 zung1,fān jūng,1
高兴,gāo xìng,"happy; glad; willing (to do sth); in a cheerful mood",高興,gou1 hing3,gou1 hing3,gōu hing,1
个,gè,"classifier for people or objects in general; individual; this; that; size",個,go3,go3,go,1
工作,gōng zuò,"job; work; construction; task; CL:个[ge4] ,份[fen4] ,项[xiang4]",工作,gung1 jok3,gung1 zok3,gūng jok,1
狗,gǒu,"dog; CL:只[zhi1] ,条[tiao2]",狗,gau2,gau2,gáu,1
汉语,hàn yǔ,"Chinese language",漢語,hon3 yu5,hon3 jyu5,hon yúh,1
好,hǎo,"good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)",好,hou2,hou2,hóu,1
号,hào,"day of a month; (suffix used after) name of a ship; (ordinal) number",號,hou6,hou6,houh,1
喝,hē,"to drink; to shout (a command)",喝,hot3,hot3,hot,1
和,hé,"and; together with; with; sum; union; peace; harmony; surname He",和,wo4,wo4,wòh,1
很,hěn,"very; (adverb of degree); quite; awfully",很,han2,han2,hán,1
后面,hòu miàn,"rear; back; behind; later; afterwards",後面,hau6 min6,hau6 min6,hauh mihn,1
回,huí,"to go back; to turn around; to answer; to return; to circle; to revolve; Hui ethnic group; time; classifier for acts of a play; section or chapter (of a classic book)",回,wui4,wui4,wùih,1
会,huì,"can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; a moment (Taiwan pr. for this sense is hui3)",會,wui2/wui5/wui6,wui2/wui5/wui6,wúi/wúih/wuih,1
几,jǐ,"how much; how many; several; a few",幾,gei2,gei2,géi,1
家,jiā,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:个[ge4]",家,ga1,gaa1,gā,1
叫,jiào,"to call; to shout; to order; to ask; to be called; by (indicates agent in the passive mood)",叫,giu3,giu3,giu,1
今天,jīn tiān,"today; at the present",今天,gam1 tin1,gam1 tin1,gām tīn,1
九,jiǔ,"nine; 9",九,gau2,gau2,gáu,1
开,kāi,"to open; to start; to turn on; to operate (vehicle)",開,hoi1,hoi1,hōi,1
看,kàn,"to look at",看,hon1/hon3,hon1/hon3,hōn/hon,1
看见,kàn jiàn,"to see; to catch sight of",看見,hon3 gin3,hon3 gin3,hon gin,1
块,kuài,"unit of currency; lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 块钱",塊,faai3,faai3,faai,1
来,lái,"to come; to arrive; to come round; ever since; next",來,loi4,loi4,lòih,1
老师,lǎo shī,"teacher; CL:个[ge4] ,位[wei4]",老師,lou5 si1,lou5 si1,lóuh sī,1
了,le,"(completed action marker); (modal particle intensifying preceding clause)",了,liu5,liu5,líuh,1
冷,lěng,"cold",冷,laang5,laang5,láahng,1
里,lǐ,"inside; lining; interior; internal",裏,leui5,leoi5,léuih,1
六,liù,"six; 6",六,luk6,luk6,luhk,1
吗,ma,"(question tag)",嗎,ma3,maa3,ma,1
妈妈,mā ma,"mum; mama; mommy; mother; CL:个[ge4] ,位[wei4]",媽媽,ma4 ma1,maa4 maa1,màh mā,1
买,mǎi,"to buy; to purchase",買,maai5,maai5,máaih,1
猫,māo,"cat; CL:只[zhi1]",貓,maau1,maau1,māau,1
没关系,méi guān xi,"it doesn't matter",沒關系,mut6 gwaan1 hai6,mut6 gwaan1 hai6,muht gwāan haih,1
没有,méi yǒu,"haven't; hasn't; doesn't exist; to not have; to not be;",沒有,mut6 yau5,mut6 jau5,muht yáuh,1
米饭,mǐ fàn,"(cooked) rice",米飯,mai5 faan6,mai5 faan6,máih faahn,1
名字,míng zi,"name (of a person or thing); CL:个[ge4]",名字,ming4 ji6,ming4 zi6,mìhng jih,1
明天,míng tiān,"tomorrow",明天,ming4 tin1,ming4 tin1,mìhng tīn,1
哪,nǎ,"which? (interrogative, followed by classifier or numeral-classifier);",哪,na5,naa5,náh,1
哪儿,nǎ er,"where?; wherever; anywhere",哪兒,na5 yi4,naa5 ji4,náh yìh,1
那,nà,"that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing;",那,na5,naa5,náh,1
呢,ne,"(question particle for subjects already mentioned)",呢,ni1,ni1,nī,1
能,néng,"to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of",能,nang4,nang4,nàhng,1
你,nǐ,"you (informal)",你,nei5,nei5,néih,1
年,nián,"year; CL:个[ge4]",年,nin4,nin4,nìhn,1
女儿,nǚ ér,"daughter",女兒,neui5 yi4,neoi5 ji4,néuih yìh,1
朋友,péng you,"friend; CL:个[ge4] ,位[wei4]",朋友,pang4 yau5,pang4 jau5,pàhng yáuh,1
漂亮,piào liang,"pretty; beautiful",漂亮,piu1 leung6,piu1 loeng6,pīu leuhng,1
苹果,píng guǒ,"apple; CL:个[ge4] ,颗[ke1]",蘋果,ping4 gwo2,ping4 gwo2,pìhng gwó,1
七,qī,"seven; 7",七,chat1,cat1,chāt,1
前面,qián miàn,"ahead; in front; preceding; above",前面,chin4 min6,cin4 min6,chìhn mihn,1
钱,qián,"coin; money; CL:笔[bi3]",錢,chin2/chin4,cin2/cin4,chín/chìhn,1
请,qǐng,"to ask; to invite; please (do sth); to treat (to a meal etc); to request",請,cheng2/ching2,ceng2/cing2,chéng/chíng,1
去,qù,"to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed",去,heui3,heoi3,heui,1
热,rè,"heat; to heat up; fervent; hot (of weather); warm up",熱,yit6,jit6,yiht,1
人,rén,"man; person; people; CL:个[ge4] ,位[wei4]",人,yan4,jan4,yàhn,1
认识,rèn shi,"to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition",認識,ying6 sik1,jing6 sik1,yihng sīk,1
三,sān,"three; 3",三,saam1,saam1,sāam,1
商店,shāng diàn,"store; shop; CL:家[jia1] ,个[ge4]",商店,seung1 dim3,soeng1 dim3,sēung dim,1
上,shàng,"on",上,seung5/seung6,soeng5/soeng6,séuhng/seuhng,1
上午,shàng wǔ,"morning; CL:个[ge4]",上午,seung6 ng5,soeng6 ng5,seuhng ngh,1
少,shǎo,"few; little; lack",少,siu2/siu3,siu2/siu3,síu/siu,1
谁,shéi,"who; also pronounced shui2",誰,seui4,seoi4,sèuih,1
什么,shén me,"what?; who?; something; anything",什麽,sam6 mo1,sam6 mo1,sahm mō,1
十,shí,"ten; 10",十,sap6,sap6,sahp,1
时候,shí hou,"time; length of time; moment; period",時候,si4 hau6,si4 hau6,sìh hauh,1
是,shì,"to be; yes",是,si6,si6,sih,1
书,shū,"book; letter; CL:本[ben3] ,册[ce4] ,部[bu4]; see also Book of History",書,syu1,syu1,syū,1
水,shuǐ,"water; river; liquid; beverage",水,seui2,seoi2,séui,1
水果,shuǐguǒ,"fruit",水果,seui2 gwo2,seoi2 gwo2,séui gwó,1
睡觉,shuì jiào,"to go to bed; to go to sleep",睡覺,seui6 gaau3,seoi6 gaau3,seuih gaau,1
说,shuō,"to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory);",說,syut3,syut3,syut,1
四,sì,"four; 4",四,sei3,sei3,sei,1
岁,suì,"classifier for years (of age); year; year (of crop harvests)",歲,seui3,seoi3,seui,1
他,tā,"he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another",他,ta1,taa1,tā,1
她,tā,"she",她,ta1,taa1,tā,1
太,tài,"too (much); very; extremely; highest; greatest",太,taai3,taai3,taai,1
天气,tiān qì,"weather",天氣,tin1 hei3,tin1 hei3,tīn hei,1
听,tīng,"to listen; to hear; to obey; a can (loanword from English 'tin'); classifier for canned beverages",聽,teng1/ting1,teng1/ting1,tēng/tīng,1
同学,tóng xué,"(fellow) classmate; CL:位[wei4] ,个[ge4]",同學,tung4 hok6,tung4 hok6,tùhng hohk,1
喂,wèi,"hello (interj., esp. on telephone); hey",喂,wai2/wai3,wai2/wai3,wái/wai,1
我,wǒ,"I; me; my",我,ngo5,ngo5,ngóh,1
我们,wǒ men,"we; us; ourselves; our",我們,ngo5 mun4,ngo5 mun4,ngóh mùhn,1
五,wǔ,"five; 5",五,ng5,ng5,ngh,1
喜欢,xǐ huan,"to like; to be fond of",喜歡,hei2 fun1,hei2 fun1,héi fūn,1
下,xià,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down",下,ha6,haa6,hah,1
下午,xià wǔ,"afternoon; p.m.; CL:个[ge4]",下午,ha6 ng5,haa6 ng5,hah ngh,1
下雨,xià yǔ,"to rain; rainy",下雨,ha6 yu5,haa6 jyu5,hah yúh,1
先生,xiān sheng,"Mister (Mr.); husband; doctor (topolect); teacher; CL:个[ge4] ,位[wei4]",先生,sin1 saang1,sin1 saang1,sīn sāang,1
现在,xiàn zài,"now; at present; at the moment; modern; current; nowadays",現在,yin6 joi6,jin6 zoi6,yihn joih,1
想,xiǎng,"to think; to believe; to suppose; to wish; to want; to miss",想,seung2,soeng2,séung,1
小,xiǎo,"small; tiny; young",小,siu2,siu2,síu,1
小姐,xiǎo jie,"young lady; Miss; (slang) prostitute; CL:个[ge4] ,位[wei4]",小姐,siu2 je2,siu2 ze2,síu jé,1
些,xiē,"some; few; several; (a measure word)",些,se1,se1,sē,1
写,xiě,"to write",寫,se2,se2,sé,1
谢谢,xiè xie,"to thank; thanks",謝謝,je6 je6,ze6 ze6,jeh jeh,1
星期,xīng qī,"week; CL:个[ge4]",星期,sing1 kei4,sing1 kei4,sīng kèih,1
学生,xué sheng,"student; school child",學生,hok6 saang1,hok6 saang1,hohk sāang,1
学习,xué xí,"to learn; to study",學習,hok6 jaap6,hok6 zaap6,hohk jaahp,1
学校,xué xiào,"school; CL:所[suo3]",學校,hok6 haau6,hok6 haau6,hohk haauh,1
一,yī,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; 'one' radical in Chinese characters (Kangxi radical 1)",一,yat1,jat1,yāt,1
一点儿,yī diǎn er,"a little (bit)",一點兒,yat1 dim2 yi4,jat1 dim2 ji4,yāt dím yìh,1
医生,yī shēng,"doctor; CL:个[ge4] ,位[wei4] ,名[ming2]",醫生,yi1 sang1,ji1 sang1,yī sāng,1
医院,yī yuàn,"hospital; CL:所[suo3] ,家[jia1] ,座[zuo4]",醫院,yi1 yun2,ji1 jyun2,yī yún,1
衣服,yī fu,"clothes; CL:件[jian4] ,套[tao4]",衣服,yi1 fuk6,ji1 fuk6,yī fuhk,1
椅子,yǐ zi,"chair; CL:把[ba3] ,套[tao4]",椅子,yi2 ji2,ji2 zi2,yí jí,1
有,yǒu,"to have; there is; there are; to exist; to be",有,yau5,jau5,yáuh,1
月,yuè,"month; moon; CL:个[ge4] ,轮[lun2]",月,yut6,jyut6,yuht,1
再见,zài jiàn,"goodbye; see you again later",再見,joi3 gin3,zoi3 gin3,joi gin,1
在,zài,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)",在,joi6,zoi6,joih,1
怎么,zěn me,"how?; what?; why?",怎麽,jam2 mo1,zam2 mo1,jám mō,1
怎么样,zěn me yàng,"how are things? how?; how about?; how was it?",怎麽樣,jam2 mo1 yeung2/yeung6,zam2 mo1 joeng2/joeng6,jám mō yéung/yeuhng,1
这,zhè,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing);",這,je5,ze5,jéh,1
中国,zhōng guó,"China; Middle Kingdom",中國,jung1 gwok3,zung1 gwok3,jūng gwok,1
中午,zhōng wǔ,"noon; midday; CL:个[ge4]",中午,jung1 ng5,zung1 ng5,jūng ngh,1
住,zhù,"to live; to dwell; to stay; to reside; to stop",住,jyu6,zyu6,jyuh,1
桌子,zhuō zi,"table; desk; CL:张[zhang1] ,套[tao4]",桌子,cheuk3 ji2,coek3 zi2,cheuk jí,1
字,zì,"letter; character; word; symbol; CL:个[ge4]",字,ji6,zi6,jih,1
昨天,zuó tiān,"yesterday",昨天,jok6 tin1,zok6 tin1,johk tīn,1
做,zuò,"to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance",做,jou6,zou6,jouh,1
坐,zuò,"to sit; to take a seat; to take (a bus, airplane etc); to bear fruit",坐,cho5/jo6,co5/zo6,chóh/joh,1
